mobility service;vehicle class;price tariff;costs_time ;
bikeShare;normalBEV;1;0;je 30 min
bikeShare;normalBEV;2;2;je 30 min
bikeExclOwn;normalBEV;1;0;
bikeExclLease;normalBEV;1;0;
carShare;small;1;1;je h
carShare;small;2;2;je h
carShare;medium;1;1.4;je h
carShare;medium;2;3;je h
carShare;mediumBEV;1;1.4;je h
carShare;mediumBEV;2;3;je h
carShare;big;1;1.9;je h
carShare;big;2;4;je h
carExclOwn;smallBEV;1;0;
carExclOwn;medium;1;0;
carExclOwn;mediumBEV;1;0;
carExclOwn;bigBEV;1;0;
carExclLease;smallBEV;1;0;
carExclLease;medium;1;0;
carExclLease;mediumBEV;1;0;
carExclLease;bigBEV;1;0;
scooterShare;normalBEV;1;0.22;
scooterShare;normalBEV;2;0.22;
scooterExclOwn;normalBEV;1;0;
scooterExclLease;normalBEV;1;0;
taxi;small;1;0;
